club,nation,league,name,rating,position,price,card_types
Inter,Chile,Serie A TIM,Arturo Vidal,85,CM,39K,otw gold rare
Chelsea,Germany,Premier League,Kai Havertz,85,CAM,332K,otw gold rare
Chelsea,Brazil,Premier League,Thiago Silva,85,CB,18.5K,ucl_rare gold rare
Inter,Slovakia,Serie A TIM,Milan Škriniar,85,CB,17.25K,ucl_rare gold rare
Manchester Utd,England,Premier League,Marcus Rashford,85,LM,36K,ucl_rare gold rare
Inter,Denmark,Serie A TIM,Christian Eriksen,85,CAM,16.5K,ucl_rare gold rare
Inter,Belgium,Serie A TIM,Romelu Lukaku,85,ST,24.75K,ucl_rare gold rare
Lazio,Serbia,Serie A TIM,Sergej Milinkovic-Savic,85,CM,16.5K,ucl_rare gold rare
RB Leipzig,Hungary,Bundesliga,Péter Gulácsi,85,GK,15.5K,ucl_rare gold rare
Lazio,Spain,Serie A TIM,Luis Alberto,85,CAM,16K,ucl_rare gold rare
Liverpool,Netherlands,Premier League,Georginio Wijnaldum,85,CM,16.5K,ucl_rare gold rare
Liverpool,Spain,Premier League,Thiago,85,CM,18.25K,ucl_rare gold rare
Dortmund,Germany,Bundesliga,Marco Reus,85,CAM,18K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Leroy Sané,85,LM,20K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Serge Gnabry,85,RM,16.75K,ucl_rare gold rare
Chelsea,Germany,Premier League,Kai Havertz,85,CAM,16.5K,ucl_rare gold rare
Chelsea,Germany,Premier League,Timo Werner,85,ST,20.5K,ucl_rare gold rare
Chelsea,Morocco,Premier League,Hakim Ziyech,85,CAM,15K,ucl_rare gold rare
Atlético de Madrid,Spain,LaLiga Santander,Koke,85,CM,16.5K,ucl_rare gold rare
FC Barcelona,France,LaLiga Santander,Clément Lenglet,85,CB,20.75K,ucl_rare gold rare
FC Barcelona,Netherlands,LaLiga Santander,Frenkie de Jong,85,CM,17K,ucl_rare gold rare
FC Barcelona,Bosnia and Herzegovina,LaLiga Santander,Miralem Pjanic,85,CM,15.75K,ucl_rare gold rare
Piemonte Calcio,Brazil,Serie A TIM,Alex Sandro,85,LB,20K,ucl_rare gold rare
Piemonte Calcio,Netherlands,Serie A TIM,Matthijs de Ligt,85,CB,19K,ucl_rare gold rare
Piemonte Calcio,Italy,Serie A TIM,Leonardo Bonucci,85,CB,18K,ucl_rare gold rare
Paris SG,Argentina,Ligue 1 Conforama,Mauro Icardi,85,ST,16K,ucl_rare gold rare
Paris SG,Brazil,Ligue 1 Conforama,Marquinhos,85,CB,20K,ucl_rare gold rare
Manchester City,Algeria,Premier League,Riyad Mahrez,85,RW,17.25K,ucl_rare gold rare
Manchester City,Spain,Premier League,Rodrigo,85,CDM,16.25K,ucl_rare gold rare
Manchester City,England,Premier League,Kyle Walker,85,RB,45.75K,ucl_rare gold rare
Milan,Sweden,Serie A TIM,Zlatan Ibrahimovic,85,ST,52K,if gold rare
Inter,Belgium,Serie A TIM,Radja Nainggolan,85,CAM,362K,halloween gold rare
Sevilla FC,Argentina,LaLiga Santander,Lucas Ocampos,85,RW,70K,halloween gold rare
Liverpool,England,Premier League,Joe Gomez,85,CB,708K,if gold rare
Real Madrid,Uruguay,LaLiga Santander,Federico Valverde,85,CM,170K,if gold rare
Crystal Palace,Côte d'Ivoire,Premier League,Wilfried Zaha,85,ST,119K,if gold rare
OL,Portugal,Ligue 1 Conforama,Lopes,85,GK,40K,if gold rare
Guangzhou,Brazil,Chinese FA Super L. (CHN 1),Paulinho,85,CM,37K,if gold rare
Leverkusen,Germany,Bundesliga,Karim Bellarabi,85,RM,0,halloween gold rare
Leverkusen,Germany,Bundesliga,Karim Bellarabi,85,RM,0,halloween gold rare
Leverkusen,Finland,Bundesliga,Lukáš Hrádecký,85,GK,49.75K,if gold rare
Chelsea,England,Premier League,Mason Mount,85,CAM,79.15K,ucl_live gold rare
RB Leipzig,Germany,Bundesliga,Lukas Klostermann,85,CB,460K,ucl_live gold rare
VfL Wolfsburg,Belgium,Bundesliga,Koen Casteels,85,GK,57.5K,if gold rare
Napoli,Mexico,Serie A TIM,Hirving Lozano,85,RM,96K,if gold rare
FC Barcelona,Spain,LaLiga Santander,Sergi Roberto Carnicer,85,RB,57K,if gold rare
Paris SG,Germany,Ligue 1 Conforama,Julian Draxler,85,CAM,78K,ucl_live gold rare
Inter,Chile,Serie A TIM,Arturo Vidal,85,CM,41K,if gold rare
Inter,Morocco,Serie A TIM,Achraf Hakimi,85,RM,47K,if gold rare
Liverpool,Guinea,Premier League,Naby Keïta,85,CM,0,objective_reward gold rare
Arsenal,Spain,Premier League,Héctor Bellerín Moruno,85,RB,0,objective_ms gold rare
Sevilla FC,Brazil,LaLiga Santander,Fernando Reges,85,CDM,59.5K,if gold rare
Qingdao Huanghai,France,Chinese FA Super L. (CHN 1),Romain Alessandrini,85,RM,128.25K,sbc_flashback gold rare
Milan,Italy,Serie A TIM,Alessio Romagnoli,85,CB,66.5K,if gold rare
Spurs,Brazil,Premier League,Lucas,85,RM,255K,europa_tott gold rare
Sevilla FC,Brazil,LaLiga Santander,Diego Carlos Santos Silva,85,CB,179K,ucl_tott gold rare
Lazio,Italy,Serie A TIM,Francesco Acerbi,85,CB,22.5K,ucl_tott gold rare
Milan,France,Serie A TIM,Theo Hernández,85,LB,340K,europa_tott gold rare
Liverpool,England,Premier League,Alex Oxlade-Chamberlain,85,CM,500.8K,f_moment gold rare
Atlético de Madrid,England,LaLiga Santander,Kieran Trippier,85,RWB,51K,if gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,Lucas Torreira,85,LB,46K,futmas gold rare
Everton,Congo DR,Premier League,Yannick Bolasie,85,CAM,0,futmas gold rare
Torino,Argentina,Serie A TIM,Cristian Ansaldi,85,RB,128.85K,futmas gold rare
Manchester Utd,England,Premier League,Aaron Wan-Bissaka,85,CB,403.7K,futmas gold rare
Napoli,Italy,Serie A TIM,Matteo Politano,85,ST,138.8K,futmas gold rare
Roma FC,Armenia,Serie A TIM,Henrikh Mkhitaryan,85,LF,40K,if gold rare
Ajax,Serbia,Eredivisie (NED 1),Dušan Tadic,85,CF,22K,europa_live gold rare
Strasbourg,France,Ligue 1 Conforama,Kenny Lala,85,RM,129.9K,futmas gold rare
RB Leipzig,Austria,Bundesliga,Konrad Laimer,85,RB,148.8K,futmas gold rare
Atalanta,Germany,Serie A TIM,Robin Gosens,85,CB,174K,futmas gold rare
Athletic Club,Spain,LaLiga Santander,Ander Capa Rodríguez,85,CDM,0,futmas gold rare
Villarreal CF,Spain,LaLiga Santander,Gerard Moreno Balagueró,85,RM,59K,if gold rare
Villarreal CF,France,LaLiga Santander,Francis Coquelin,85,CM,238.85K,showdown gold rare
Manchester City,Portugal,Premier League,João Cancelo,85,RM,111K,if gold rare
Real Betis,Brazil,LaLiga Santander,Emerson Leite De Souza,85,RB,0,objective_reward gold rare
PSV,Netherlands,Eredivisie (NED 1),Donyell Malen,85,ST,75.2K,showdown_plus gold rare
Atalanta,Colombia,Serie A TIM,Duván Zapata,85,ST,37.75K,if gold rare
Southampton,England,Premier League,Danny Ings,85,ST,28K,headliners gold rare
Valencia CF,Portugal,LaLiga Santander,Gonçalo Manuel Ganchinho Guedes,85,CF,0,objective_ms gold rare
Frankfurt,Austria,Bundesliga,Martin Hinteregger,85,CB,37.75K,if gold rare
Valencia CF,Spain,LaLiga Santander,José Luís Gayà Peña,85,LB,40.75K,if gold rare
Frankfurt,Serbia,Bundesliga,Filip Kostic,85,LM,33.5K,if gold rare
Milan,Portugal,Serie A TIM,Diogo Dalot,85,LB,35.75K,future_stars gold rare
Dortmund,Brazil,Bundesliga,Reinier,85,ST,0,future_stars gold rare
Milan,Portugal,Serie A TIM,Diogo Dalot,85,RB,38K,future_stars gold rare
Real Betis,Mexico,LaLiga Santander,Diego Lainez,85,LM,26K,future_stars gold rare
Sevilla FC,Spain,LaLiga Santander,Óscar Rodríguez Arnaiz,85,CAM,17K,future_stars gold rare
SL Benfica,Germany,Liga NOS (POR 1),Luca Waldschmidt,85,CF,0,objective_reward gold rare
Feyenoord,Argentina,Eredivisie (NED 1),Marcos Senesi,85,CB,0,objective_reward gold rare
Guangzhou R&F,Belgium,Chinese FA Super L. (CHN 1),Mousa Dembélé,85,CM,0,objective_reward gold rare
Manchester City,Brazil,Premier League,Gabriel Jesus,85,ST,289K,motm gold rare
Al Shabab,Argentina,MBS Pro League (SAU 1),Éver Banega,85,CAM,28.75K,if gold rare
Manchester City,England,Premier League,John Stones,85,CB,56.5K,if gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,84,ST,13.5K,gold rare
AS Monaco,France,Ligue 1 Conforama,Wissam Ben Yedder,84,ST,10K,gold rare
Atalanta,Slovenia,Serie A TIM,Josip Ilicic,84,CF,8.4K,gold rare
Atlético de Madrid,Brazil,LaLiga Santander,Felipe,84,CB,13.5K,gold rare
Manchester City,Brazil,Premier League,Fernandinho,84,CB,16.5K,gold rare
FC Bayern,Austria,Bundesliga,David Alaba,84,CB,14K,gold rare
Inter,Netherlands,Serie A TIM,Stefan de Vrij,84,CB,12.5K,gold rare
FC Bayern,France,Bundesliga,Kingsley Coman,84,LM,9.4K,gold rare
Real Sociedad,Spain,LaLiga Santander,Oyarzabal,84,LW,11.5K,gold rare
Dortmund,Portugal,Bundesliga,Guerreiro,84,LM,9K,gold rare
SL Benfica,Portugal,Liga NOS (POR 1),Pizzi,84,RM,10.25K,gold rare
SL Benfica,Spain,Liga NOS (POR 1),Grimaldo,84,LB,11.75K,gold rare
Sevilla FC,Spain,LaLiga Santander,Jesús Navas,84,RB,13K,gold rare
Chelsea,Spain,Premier League,Azpilicueta,84,RB,12K,gold rare
Ajax,Argentina,Eredivisie (NED 1),Nicolás Tagliafico,84,LB,8.8K,gold rare
FC Porto,Brazil,Liga NOS (POR 1),Alex Telles,84,LB,18.75K,gold rare
Everton,France,Premier League,Lucas Digne,84,LB,12.25K,gold rare
Torino,Italy,Serie A TIM,Salvatore Sirigu,84,GK,8.4K,gold rare
Ajax,Cameroon,Eredivisie (NED 1),André Onana,84,GK,7.5K,gold rare
Wolves,Portugal,Premier League,Rui Patrício,84,GK,7.5K,gold rare
Leicester City,Denmark,Premier League,Kasper Schmeichel,84,GK,7.3K,gold rare
Dortmund,Switzerland,Bundesliga,Roman Bürki,84,GK,8K,gold rare
RC Celta,Spain,LaLiga Santander,Iago Aspas,84,ST,15K,gold rare
Atlético de Madrid,Ghana,LaLiga Santander,Thomas Partey,84,CM,16.25K,gold rare
Real Madrid,Spain,LaLiga Santander,Isco,84,CAM,11K,gold rare
Paris SG,Senegal,Ligue 1 Conforama,Idrissa Gueye,84,CDM,8.6K,gold rare
Inter,Argentina,Serie A TIM,Lautaro Martínez,84,ST,12.75K,gold rare
Inter,Croatia,Serie A TIM,Marcelo Brozovic,84,CDM,9.4K,gold rare
Dortmund,Germany,Bundesliga,Julian Brandt,84,CAM,10.75K,gold rare
Dortmund,Belgium,Bundesliga,Axel Witsel,84,CDM,10.5K,gold rare
Wolves,Mexico,Premier League,Raúl Jiménez,84,ST,12.5K,gold rare
Piemonte Calcio,Brazil,Serie A TIM,Douglas Costa,84,LM,29K,gold rare
FC Bayern,Germany,Bundesliga,Niklas Süle,84,CB,17K,gold rare
Manchester Utd,France,Premier League,Anthony Martial,84,ST,16.25K,gold rare
FC Bayern,Germany,Bundesliga,Leon Goretzka,84,CM,13K,gold rare
Lazio,Brazil,Serie A TIM,Lucas Pezzini Leiva,84,CDM,9.3K,gold rare
FC Porto,Mexico,Liga NOS (POR 1),Jesús Corona,84,RM,8.8K,gold rare
Atlético de Madrid,Spain,LaLiga Santander,Saúl Ñíguez Esclápez,84,CM,11.75K,gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,José María Giménez,84,CB,11.25K,gold rare
Leicester City,Nigeria,Premier League,Wilfred Ndidi,84,CDM,13.75K,gold rare
Piemonte Calcio,Brazil,Serie A TIM,Arthur Henrique Ramos Oliveira Melo,84,CM,10.75K,gold rare
OGC Nice,Argentina,Ligue 1 Conforama,Walter Benítez,84,GK,47.25K,if gold rare
Vissel Kobe,Spain,Meiji Yasuda J1 (JPN 1),Andrés Iniesta Luján,84,CM,38.25K,if gold rare
Chelsea,England,Premier League,Ben Chilwell,84,LB,39K,if gold rare
Everton,Colombia,Premier League,James Rodríguez,84,RW,52K,if gold rare
RB Leipzig,Germany,Bundesliga,Marcel Halstenberg,84,CB,44K,if gold rare
Manchester Utd,Brazil,Premier League,Alex Telles,84,LB,48K,otw gold rare
Everton,England,Premier League,Dominic Calvert-Lewin,84,ST,47.75K,potm_epl gold rare
Manchester Utd,Brazil,Premier League,Alex Telles,84,LB,12K,gold rare
Arsenal,Ghana,Premier League,Thomas Partey,84,CM,9.3K,gold rare
FC Bayern,Brazil,Bundesliga,Douglas Costa,84,LM,9.5K,gold rare
Fiorentina,Spain,Serie A TIM,Callejón José,84,RM,13.25K,gold rare
Napoli,Spain,Serie A TIM,Callejón José,84,RM,0,gold rare
Paris SG,Italy,Ligue 1 Conforama,Alessandro Florenzi,84,RB,25K,otw gold rare
Piemonte Calcio,Brazil,Serie A TIM,Arthur Henrique Ramos Oliveira Melo,84,CM,20.25K,otw gold rare
Everton,Colombia,Premier League,James Rodríguez,84,CAM,20.75K,otw gold rare
Sevilla FC,Spain,LaLiga Santander,Jesús Navas,84,RB,13K,ucl_rare gold rare
Manchester Utd,France,Premier League,Anthony Martial,84,ST,16.25K,ucl_rare gold rare
Manchester Utd,Brazil,Premier League,Alex Telles,84,LB,12K,ucl_rare gold rare
Inter,Argentina,Serie A TIM,Lautaro Martínez,84,ST,13K,ucl_rare gold rare
Inter,Croatia,Serie A TIM,Marcelo Brozovic,84,CDM,9.5K,ucl_rare gold rare
Inter,Netherlands,Serie A TIM,Stefan de Vrij,84,CB,12.25K,ucl_rare gold rare
Real Madrid,Spain,LaLiga Santander,Isco,84,CAM,11K,ucl_rare gold rare
Lazio,Brazil,Serie A TIM,Lucas Pezzini Leiva,84,CDM,9.1K,ucl_rare gold rare
Atalanta,Slovenia,Serie A TIM,Josip Ilicic,84,CF,8.3K,ucl_rare gold rare
FC Porto,Mexico,Liga NOS (POR 1),Jesús Corona,84,RM,9.1K,ucl_rare gold rare
FC Porto,Brazil,Liga NOS (POR 1),Alex Telles,84,LB,0,ucl_rare gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,84,ST,14K,ucl_rare gold rare
Dortmund,Switzerland,Bundesliga,Roman Bürki,84,GK,8K,ucl_rare gold rare
Dortmund,Belgium,Bundesliga,Axel Witsel,84,CDM,11K,ucl_rare gold rare
Dortmund,Portugal,Bundesliga,Guerreiro,84,LM,9.2K,ucl_rare gold rare
Dortmund,Germany,Bundesliga,Julian Brandt,84,CAM,10.75K,ucl_rare gold rare
FC Bayern,Brazil,Bundesliga,Douglas Costa,84,LM,10.25K,ucl_rare gold rare
FC Bayern,France,Bundesliga,Kingsley Coman,84,LM,9.8K,ucl_rare gold rare
FC Bayern,Austria,Bundesliga,David Alaba,84,CB,14K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Leon Goretzka,84,CM,12.5K,ucl_rare gold rare
FC Bayern,Germany,Bundesliga,Niklas Süle,84,CB,17.25K,ucl_rare gold rare
Ajax,Cameroon,Eredivisie (NED 1),André Onana,84,GK,7.5K,ucl_rare gold rare
Ajax,Argentina,Eredivisie (NED 1),Nicolás Tagliafico,84,LB,9.5K,ucl_rare gold rare
Chelsea,Spain,Premier League,Azpilicueta,84,RB,12.5K,ucl_rare gold rare
Atlético de Madrid,Spain,LaLiga Santander,Saúl Ñíguez Esclápez,84,CM,12.25K,ucl_rare gold rare
Atlético de Madrid,Ghana,LaLiga Santander,Thomas Partey,84,CM,0,ucl_rare gold rare
Atlético de Madrid,Brazil,LaLiga Santander,Felipe,84,CB,12.5K,ucl_rare gold rare
Atlético de Madrid,Uruguay,LaLiga Santander,José María Giménez,84,CB,11.25K,ucl_rare gold rare
Piemonte Calcio,Brazil,Serie A TIM,Douglas Costa,84,LM,0,ucl_rare gold rare
Piemonte Calcio,Brazil,Serie A TIM,Arthur Henrique Ramos Oliveira Melo,84,CM,11K,ucl_rare gold rare
Paris SG,Senegal,Ligue 1 Conforama,Idrissa Gueye,84,CDM,8.6K,ucl_rare gold rare
Manchester City,Brazil,Premier League,Fernandinho,84,CB,16.5K,ucl_rare gold rare
Paris SG,Italy,Ligue 1 Conforama,Alessandro Florenzi,84,RB,43K,if gold rare
Dortmund,Denmark,Bundesliga,Thomas Delaney,84,CB,38K,if gold rare
FC Metz,Senegal,Ligue 1 Conforama,Ibrahima Niane,84,ST,50.05K,potm_ligue1 gold rare
Atlético de Madrid,Spain,LaLiga Santander,Marcos Llorente,84,CM,220K,halloween gold rare
Lazio,Italy,Serie A TIM,Manuel Lazzari,84,RM,26.25K,halloween gold rare
RB Leipzig,France,Bundesliga,Nordi Mukiele,84,RB,0,halloween gold rare
Athletic Club,Spain,LaLiga Santander,Iñaki Williams,84,ST,0,halloween gold rare
Athletic Club,Spain,LaLiga Santander,Iñaki Williams,84,ST,0,halloween gold rare
Guangzhou,Brazil,Chinese FA Super L. (CHN 1),Anderson Talisca,84,CAM,65.8K,halloween gold rare
Piemonte Calcio,Colombia,Serie A TIM,Juan Cuadrado,84,RB,236K,halloween gold rare
OL,Belgium,Ligue 1 Conforama,Jason Denayer,84,CB,56.85K,halloween gold rare
Atlético de Madrid,Portugal,LaLiga Santander,João Félix Sequeira,84,ST,103K,if gold rare
AS Monaco,Germany,Ligue 1 Conforama,Kevin Volland,84,ST,44K,if gold rare
D. Alavés,Spain,LaLiga Santander,Fernando Pacheco Flores,84,GK,64K,if gold rare
Impact Montréal,Spain,Major League Soccer (MLS),Bojan,84,CAM,0,objective_reward_3 gold rare
Shakhtar Donetsk,Brazil,Ukrayina Liha (UKR 1),Taison Barcellos Freda,84,LM,74.5K,europa_live gold rare
Inter,Croatia,Serie A TIM,Ivan Perišic,84,LM,21.5K,ucl_live gold rare
Sevilla FC,France,LaLiga Santander,Jules Koundé,84,CB,0,ucl_live gold rare
Atalanta,Colombia,Serie A TIM,Luis Muriel,84,ST,92K,ucl_live gold rare
Roma FC,Brazil,Serie A TIM,Bruno da Silva Peres,84,RB,222K,europa_live gold rare
LOSC,Portugal,Ligue 1 Conforama,Renato Sanches,84,CM,1.36M,europa_live gold rare
West Ham,Poland,Premier League,Lukasz Fabianski,84,GK,65.5K,if gold rare
Union Berlin,Germany,Bundesliga,Max Kruse,84,CF,48K,if gold rare
Aston Villa,England,Premier League,Ollie Watkins,84,ST,55K,if gold rare
Atlético de Madrid,Spain,LaLiga Santander,Marcos Llorente,84,CF,141K,if gold rare
Spurs,France,Premier League,Moussa Sissoko,84,CM,1.33M,europa_live gold rare
Milan,Côte d'Ivoire,Serie A TIM,Franck Yannick Kessié,84,CM,719K,europa_live gold rare
Ajax,Netherlands,Eredivisie (NED 1),Quincy Promes,84,CAM,245K,europa_live gold rare
Dortmund,Switzerland,Bundesliga,Manuel Akanji,84,CB,314K,ucl_live gold rare
AFC Bournemouth,Norway,EFL Championship (ENG 2),Joshua King,84,CF,0,objective_reward_3 gold rare
Atlético de Madrid,Belgium,LaLiga Santander,Yannick Carrasco,84,LM,28.25K,if gold rare
Napoli,Spain,Serie A TIM,Fabián Ruiz Peña,84,CM,49K,if gold rare
Manchester City,France,Premier League,Benjamin Mendy,84,LB,63K,if gold rare
Leeds United,Brazil,Premier League,Raphael Dias Belloli,84,RM,106K,if gold rare
VfL Wolfsburg,Netherlands,Bundesliga,Wout Weghorst,84,ST,56K,if gold rare
Dortmund,Norway,Bundesliga,Erling Haaland,84,ST,0,console_de gold rare
SC Heerenveen,Netherlands,Eredivisie (NED 1),Mitchell van Bergen,84,RW,0,objective_reward_3 gold rare
Piemonte Calcio,Spain,Serie A TIM,Álvaro Borja Morata Martín,84,ST,19.5K,ucl_tott gold rare
LOSC,Turkey,Ligue 1 Conforama,Yusuf Yazici,84,ST,14K,europa_tott gold rare
Arsenal,Côte d'Ivoire,Premier League,Nicolas Pépé,84,RW,55K,europa_tott gold rare
Olympiacos CFP,Morocco,Hellas Liga (GRE 1),Youssef El Arabi,84,ST,26.5K,if gold rare
Piemonte Calcio,Colombia,Serie A TIM,Juan Cuadrado,84,RB,177K,if gold rare
Leicester City,England,Premier League,James Maddison,84,CAM,64.85K,europa_tott gold rare
Orlando City,Portugal,Major League Soccer (MLS),Nani,84,CAM,28K,futmas gold rare
Leverkusen,Jamaica,Bundesliga,Leon Bailey,84,RW,112.85K,futmas gold rare
RB Leipzig,Spain,Bundesliga,Daniel Olmo Carvajal,84,CAM,41.25K,if gold rare
Sassuolo,Italy,Serie A TIM,Andrea Consigli,84,GK,39.5K,if gold rare
Rangers,England,Scottish Premiership (SPFL),James Tavernier,84,RB,35.5K,if gold rare
Valencia CF,Spain,LaLiga Santander,Carlos Soler Barragán,84,CM,37.5K,if gold rare
LOSC,France,Ligue 1 Conforama,Jonathan Bamba,84,LM,89K,if gold rare
M'gladbach,Germany,Bundesliga,Matthias Ginter,84,CB,46.25K,if gold rare
Milan,Croatia,Serie A TIM,Ante Rebic,84,ST,243K,europa_live gold rare
Villarreal CF,Japan,LaLiga Santander,Takefusa Kubo,84,RM,26K,europa_live gold rare
Wolves,Spain,Premier League,Adama,84,LB,210.35K,futmas gold rare
Real Betis,Spain,LaLiga Santander,Álex Moreno,84,RB,70K,futmas gold rare
VfL Wolfsburg,Brazil,Bundesliga,João Victor,84,ST,162.05K,futmas gold rare
Paris SG,France,Ligue 1 Conforama,Presnel Kimpembe,84,CB,80K,if gold rare
OL,Belgium,Ligue 1 Conforama,Jason Denayer,84,CB,31K,if gold rare
LOSC,France,Ligue 1 Conforama,Mike Maignan,84,GK,34.5K,if gold rare
Al Ahli,Syria,MBS Pro League (SAU 1),Omar Al Soma,84,ST,27K,if gold rare
OM,France,Ligue 1 Conforama,Jordan Amavi,84,LB,19K,headliners gold rare
Hertha Berlin,Brazil,Bundesliga,Matheus Santos Carneiro Da Cunha,84,CAM,0,headliners gold rare
R. Valladolid CF,Spain,LaLiga Santander,Jordi Masip López,84,GK,38K,if gold rare
West Ham,Czech Republic,Premier League,Tomáš Soucek,84,CDM,29.25K,if gold rare
Fiorentina,Poland,Serie A TIM,Bartlomiej Dragowski,84,GK,28.75K,if gold rare
Paris SG,Brazil,Ligue 1 Conforama,Rafael Alcântara,84,CM,43.5K,headliners gold rare
RB Leipzig,France,Bundesliga,Dayot Upamecano,84,CB,400K,headliners gold rare
PSV,Israel,Eredivisie (NED 1),Eran Zahavi,84,ST,28K,if gold rare
West Ham,Italy,Premier League,Angelo Ogbonna,84,CB,30.75K,if gold rare
AZ,Netherlands,Eredivisie (NED 1),Teun Koopmeiners,84,CM,28.75K,if gold rare
Strasbourg,France,Ligue 1 Conforama,Ludovic Ajorque,84,ST,26K,if gold rare
Leicester City,Belgium,Premier League,Youri Tielemans,84,CDM,28.5K,if gold rare
M'gladbach,Switzerland,Bundesliga,Nico Elvedi,84,CB,31.5K,if gold rare
Real Betis,Spain,LaLiga Santander,Sergio Canales Madrazo,84,CDM,34.5K,if gold rare
OL,Brazil,Ligue 1 Conforama,Marcelo,84,CB,27.5K,if gold rare
Burnley,England,Premier League,Nick Pope,84,GK,66K,if gold rare
TSG Hoffenheim,Croatia,Bundesliga,Andrej Kramaric,84,CAM,26.5K,if gold rare
Newcastle Utd,England,Premier League,Callum Wilson,84,ST,28K,if gold rare
Frankfurt,Portugal,Bundesliga,André Miguel Valente da Silva,84,ST,29K,if gold rare
Sevilla FC,Argentina,LaLiga Santander,Lucas Ocampos,84,RW,22.25K,motm gold rare
Levante UD,Spain,LaLiga Santander,José Luis Morales Nogales,84,LM,33K,if gold rare
Leverkusen,France,Bundesliga,Moussa Diaby,84,LW,32.75K,if gold rare
Galatasaray,Uruguay,Süper Lig (TUR 1),Fernando Muslera,84,GK,24.75K,if gold rare
Valencia CF,Brazil,LaLiga Santander,Gabriel Armando de Abreu,84,CB,28.75K,if gold rare
Manchester Utd,England,Premier League,Luke Shaw,84,LB,32.75K,if gold rare
Genoa,Italy,Serie A TIM,Mattia Perin,84,GK,25K,if gold rare
BSC Young Boys,Cameroon,Raiffeisen Super L. (SUI 1),Jean-Pierre Nsame,84,ST,21.75K,if gold rare
Manchester Utd,Scotland,Premier League,Scott McTominay,84,CDM,35K,motm gold rare
Sevilla FC,Croatia,LaLiga Santander,Ivan Rakitic,84,CAM,15.5K,motm gold rare
Everton,Iceland,Premier League,Gylfi Sigurðsson,84,CAM,16.5K,motm gold rare
Getafe CF,Spain,LaLiga Santander,Marc Cucurella Saseta,84,CM,0,future_stars gold rare
Atalanta,Colombia,Serie A TIM,Luis Muriel,84,ST,37.75K,if gold rare
Sporting CP,Uruguay,Liga NOS (POR 1),Sebastián Coates,84,CB,20.75K,if gold rare
KAA Gent,Ukraine,1A Pro League (BEL 1),Roman Yaremchuk,84,ST,17K,if gold rare
Aston Villa,Argentina,Premier League,Emiliano Martínez,84,GK,21K,if gold rare
Leicester City,France,Premier League,Fofana,84,CB,0,future_stars gold rare
Paris SG,Spain,Ligue 1 Conforama,Bernat,83,LB,4.7K,gold rare
OL,Portugal,Ligue 1 Conforama,Lopes,83,GK,1.8K,gold rare
OM,France,Ligue 1 Conforama,Steve Mandanda,83,GK,1.8K,gold rare
Sporting CP,Argentina,Liga NOS (POR 1),Marcos Acuña,83,LB,0,gold rare
Manchester City,Portugal,Premier League,João Cancelo,83,RB,6.6K,gold rare
Real Madrid,Brazil,LaLiga Santander,Marcelo,83,LB,5K,gold rare
Real Madrid,France,LaLiga Santander,Ferland Mendy,83,LB,14.5K,gold rare
Atlético de Madrid,England,LaLiga Santander,Kieran Trippier,83,RB,5.4K,gold rare
Manchester Utd,England,Premier League,Aaron Wan-Bissaka,83,RB,7.2K,gold rare
Liverpool,England,Premier League,Joe Gomez,83,CB,9.4K,gold rare
Liverpool,Cameroon,Premier League,Joel Matip,83,CB,6.8K,gold rare
Spurs,England,Premier League,Dele Alli,83,CAM,4.5K,gold rare
Spurs,Netherlands,Premier League,Steven Bergwijn,83,LM,5K,gold rare
Manchester City,Brazil,Premier League,Gabriel Jesus,83,ST,6.8K,gold rare
Manchester City,Germany,Premier League,Ilkay Gündogan,83,CM,4.6K,gold rare
Real Madrid,Uruguay,LaLiga Santander,Federico Valverde,83,CM,4.3K,gold rare
Spurs,Brazil,Premier League,Lucas,83,RM,7.5K,gold rare
Milan,Italy,Serie A TIM,Alessio Romagnoli,83,CB,7K,gold rare
Milan,Sweden,Serie A TIM,Zlatan Ibrahimovic,83,ST,2.5K,gold rare
Chelsea,Italy,Premier League,Luiz Frello Filho Jorge,83,CM,4.7K,gold rare
Chelsea,Croatia,Premier League,Mateo Kovacic,83,CM,3.8K,gold rare
Dortmund,Belgium,Bundesliga,Thorgan Hazard,83,LM,3.5K,gold rare
Spurs,Wales,Premier League,Gareth Bale,83,RW,4.5K,gold rare
Inter,Morocco,Serie A TIM,Achraf Hakimi,83,RM,4.7K,gold rare
Real Madrid,Norway,LaLiga Santander,Martin Ødegaard,83,CAM,6.2K,gold rare
Crystal Palace,Côte d'Ivoire,Premier League,Wilfried Zaha,83,LM,4.5K,gold rare
FC Barcelona,Brazil,LaLiga Santander,Coutinho,83,CAM,3.9K,gold rare
FC Barcelona,France,LaLiga Santander,Ousmane Dembélé,83,LW,5.3K,gold rare
SL Benfica,Portugal,Liga NOS (POR 1),Rafa,83,LM,3K,gold rare
Wolves,Portugal,Premier League,João Moutinho,83,CM,4K,gold rare
Ajax,Serbia,Eredivisie (NED 1),Dušan Tadic,83,CF,1.8K,gold rare
